,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
353,differentiate between maxillofacial tissues,"['No change', 'No change', 'maxillofacial tissues_amod']",No change,No change,maxillofacial tissues_amod
355,draw off wash water,"['wash water_com', 'No change', 'No change']",wash water_com,No change,No change
357,communicate with waste treatment facilities,"['waste treatment facilities_com', 'No change', 'No change']",waste treatment facilities_com,No change,No change
358,prepare leather goods samples,"['leather goods samples_com', 'No change', 'No change']",leather goods samples_com,No change,No change
360,understand the physical language of a live performance,"['No change', 'understand the physical language_obj', 'physical language of a live performance_amod']",No change,understand the physical language_obj,physical language of a live performance_amod
361,measure chemical substance viscosity,"['substance viscosity_com', 'No change', 'chemical substance viscosity_amod']",substance viscosity_com,No change,chemical substance viscosity_amod
364,prepare site for construction,"['No change', 'prepare site_obj', 'No change']",No change,prepare site_obj,No change
368,follow water supply schedule,"['water supply schedule_com', 'No change', 'No change']",water supply schedule_com,No change,No change
369,teach principles of literature,"['No change', 'teach principles_obj', 'No change']",No change,teach principles_obj,No change
370,help clients make decisions during counselling sessions,"['counselling sessions_com', 'help clients make decisions_obj', 'No change']",counselling sessions_com,help clients make decisions_obj,No change
371,integrate strategic foundation in daily performance,"['No change', 'integrate strategic foundation_obj', 'strategic foundation in daily performance_amod']",No change,integrate strategic foundation_obj,strategic foundation in daily performance_amod
374,ensure compliance with environmental legislation,"['No change', 'ensure compliance_obj', 'environmental legislation_amod']",No change,ensure compliance_obj,environmental legislation_amod
375,aid archive users with their enquiries,"['No change', 'aid archive users_obj', 'archive users with their enquiries_amod']",No change,aid archive users_obj,archive users with their enquiries_amod
379,quality prototype of a tobacco leaf,"['quality prototype_com', 'No change', 'No change']",quality prototype_com,No change,No change
380,advise customers on preparation of meat products,"['meat products_com', 'advise customers_obj', 'No change']",meat products_com,advise customers_obj,No change
383,collaborate with animal related professionals,"['No change', 'No change', 'related professionals_amod']",No change,No change,related professionals_amod
387,be a role model in community arts,"['role model_com', 'No change', 'No change']",role model_com,No change,No change
