,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
6596,tend chain making machine,"['No change', 'No change', 'No change']",No change,No change,No change
6597,present during live broadcasts,"['No change', 'No change', 'live broadcasts_amod']",No change,No change,live broadcasts_amod
6603,build helping relationship with social service users,"['helping relationship_com', 'build helping relationship_obj', 'social service users_amod']",helping relationship_com,build helping relationship_obj,social service users_amod
6605,provide stabilisation care in emergency,"['stabilisation care_com', 'provide stabilisation care_obj', 'No change']",stabilisation care_com,provide stabilisation care_obj,No change
6606,ensure vehicle preparation for pick-up,"['vehicle preparation_com', 'ensure vehicle preparation_obj', 'No change']",vehicle preparation_com,ensure vehicle preparation_obj,No change
6608,use agricultural information systems and databases,"['information systems_com', 'use agricultural information systems_obj', 'agricultural information systems and databases_amod']",information systems_com,use agricultural information systems_obj,agricultural information systems and databases_amod
6611,crude oil distillation processes,"['oil distillation processes_com', 'No change', 'crude oil_amod']",oil distillation processes_com,No change,crude oil_amod
6614,tackle issues that block academic progress,"['No change', 'No change', 'academic progress_amod']",No change,No change,academic progress_amod
6616,manufacturing of steam generators,"['steam generators_com', 'No change', 'No change']",steam generators_com,No change,No change
6618,use personal organization software,"['organization software_com', 'No change', 'personal organization software_amod']",organization software_com,No change,personal organization software_amod
6620,calculate aquatic resources growth rate,"['resources growth rate_com', 'No change', 'aquatic resources growth rate_amod']",resources growth rate_com,No change,aquatic resources growth rate_amod
6621,challenging issues in the textile industry,"['textile industry_com', 'No change', 'challenging issues_amod']",textile industry_com,No change,challenging issues_amod
6622,follow procedures in the event of an alarm,"['No change', 'follow procedures_obj', 'No change']",No change,follow procedures_obj,No change
6626,liaise with distribution channel managers,"['distribution channel managers_com', 'No change', 'No change']",distribution channel managers_com,No change,No change
6627,work in a logistics team,"['logistics team_com', 'No change', 'No change']",logistics team_com,No change,No change
6628,check quality of products in textile production line,"['production line_com', 'check quality_obj', 'textile production line_amod']",production line_com,check quality_obj,textile production line_amod
6630,perform vascular surgery therapeutic procedures,"['No change', 'No change', 'vascular surgery therapeutic procedures_amod']",No change,No change,vascular surgery therapeutic procedures_amod
6632,determine tunnel boring machine speed,"['machine speed_com', 'No change', 'No change']",machine speed_com,No change,No change
6633,manage veterinary practice waiting area,"['practice waiting area_com', 'No change', 'veterinary practice waiting area_amod']",practice waiting area_com,No change,veterinary practice waiting area_amod
6634,create a prevention security plan for the store,"['prevention security plan_com', 'create a prevention security plan_obj', 'No change']",prevention security plan_com,create a prevention security plan_obj,No change
6638,attach power cords to electric module,"['attach power cords_com', 'No change', 'electric module_amod']",attach power cords_com,No change,electric module_amod
6640,set up pile helmets or sleeves,"['No change', 'set up pile helmets_obj', 'pile helmets or sleeves_amod']",No change,set up pile helmets_obj,pile helmets or sleeves_amod
6645,provide feedback on patient's communication style,"['communication style_com', 'provide feedback_obj', 'No change']",communication style_com,provide feedback_obj,No change
6646,prioritise youths' psychiatric care needs,"['prioritise youths_com', 'No change', 'psychiatric care needs_amod']",prioritise youths_com,No change,psychiatric care needs_amod
6653,set up broadcast equipment,"['broadcast equipment_com', 'No change', 'No change']",broadcast equipment_com,No change,No change
6654,manage on-board water systems,"['water systems_com', 'No change', 'No change']",water systems_com,No change,No change
6665,drive waste collection vehicle,"['waste collection vehicle_com', 'No change', 'No change']",waste collection vehicle_com,No change,No change
6666,lay resilient flooring tiles,"['No change', 'No change', 'resilient flooring tiles_amod']",No change,No change,resilient flooring tiles_amod
6668,evaluate clinical outcomes of dental hygiene interventions,"['No change', 'No change', 'clinical outcomes of dental hygiene interventions_amod']",No change,No change,clinical outcomes of dental hygiene interventions_amod
6671,provide therapy of the visual system,"['No change', 'provide therapy_obj', 'visual system_amod']",No change,provide therapy_obj,visual system_amod
6672,administer materials to tea bag machines,"['tea bag machines_com', 'No change', 'administer materials_amod']",tea bag machines_com,No change,administer materials_amod
6673,advise on bank account,"['bank account_com', 'No change', 'No change']",bank account_com,No change,No change
6675,assume highest level of responsibility in inland water transportation,"['water transportation_com', 'assume highest level_obj', 'highest level of responsibility in inland water transportation_amod']",water transportation_com,assume highest level_obj,highest level of responsibility in inland water transportation_amod
6676,manage time in food processing operations,"['food processing operations_com', 'manage time_obj', 'No change']",food processing operations_com,manage time_obj,No change
6677,student financial aid programmes,"['aid programmes_com', 'No change', 'financial aid programmes_amod']",aid programmes_com,No change,financial aid programmes_amod
6679,use instruments for food measurement,"['food measurement_com', 'use instruments_obj', 'No change']",food measurement_com,use instruments_obj,No change
6683,procure time sheet approval,"['No change', 'No change', 'No change']",No change,No change,No change
6686,assess your competencies in leading community arts,"['community arts_com', 'assess your competencies_obj', 'leading community arts_amod']",community arts_com,assess your competencies_obj,leading community arts_amod
6690,communicate in English in a competent way,"['No change', 'No change', 'competent way_amod']",No change,No change,competent way_amod
6691,analyse work-related written reports,"['No change', 'No change', 'analyse work-related written reports_amod']",No change,No change,analyse work-related written reports_amod
6695,clean patients' ear canals,"['ear canals_com', 'No change', 'clean patients_amod']",ear canals_com,No change,clean patients_amod
6700,match vessels to shipping routes,"['shipping routes_com', 'match vessels_obj', 'No change']",shipping routes_com,match vessels_obj,No change
6702,negotiate rights of use,"['No change', 'negotiate rights_obj', 'No change']",No change,negotiate rights_obj,No change
6706,set up reinforcing steel,"['No change', 'No change', 'reinforcing steel_amod']",No change,No change,reinforcing steel_amod
6709,test soil load bearing capacity,"['test soil load_com', 'load bearing capacity_obj', 'No change']",test soil load_com,load bearing capacity_obj,No change
6710,buy new library items,"['library items_com', 'No change', 'new library items_amod']",library items_com,No change,new library items_amod
6712,remediate healthcare user's occupational performance,"['healthcare user_com', 'No change', 'occupational performance_amod']",healthcare user_com,No change,occupational performance_amod
6713,install transport equipment lighting,"['No change', 'No change', 'No change']",No change,No change,No change
6715,maintain soap production equipment,"['soap production equipment_com', 'No change', 'No change']",soap production equipment_com,No change,No change
6716,apply music therapy termination methods,"['music therapy termination methods_com', 'No change', 'No change']",music therapy termination methods_com,No change,No change
6717,simplify communication in maritime management,"['No change', 'simplify communication_obj', 'maritime management_amod']",No change,simplify communication_obj,maritime management_amod
6720,map the Earth's interior,"['No change', 'No change', 'No change']",No change,No change,No change
6721,help clients cope with grief,"['No change', 'No change', 'No change']",No change,No change,No change
6722,maintain adequate medication storage conditions,"['medication storage conditions_com', 'No change', 'adequate medication storage conditions_amod']",medication storage conditions_com,No change,adequate medication storage conditions_amod
6723,provide care for horses,"['No change', 'provide care_obj', 'No change']",No change,provide care_obj,No change
6724,provide first aid to animals,"['No change', 'provide first aid_obj', 'first aid to animals_amod']",No change,provide first aid_obj,first aid to animals_amod
6725,use production planning software,"['production planning software_com', 'No change', 'No change']",production planning software_com,No change,No change
6726,inform on insurance products,"['insurance products_com', 'No change', 'No change']",insurance products_com,No change,No change
6727,ensure quality control in packaging,"['quality control_com', 'ensure quality control_obj', 'No change']",quality control_com,ensure quality control_obj,No change
6728,participate as observer in different types of audits in the food sector,"['food sector_com', 'No change', 'different types of audits in the food sector_amod']",food sector_com,No change,different types of audits in the food sector_amod
6731,tend stone splitting machine,"['No change', 'No change', 'No change']",No change,No change,No change
6732,prepare containers for beverage fermentation,"['beverage fermentation_com', 'prepare containers_obj', 'No change']",beverage fermentation_com,prepare containers_obj,No change
6734,perform fish grading operations,"['fish grading_com', 'No change', 'grading operations_amod']",fish grading_com,No change,grading operations_amod
6736,apply music therapy treatment methods,"['music therapy treatment methods_com', 'No change', 'No change']",music therapy treatment methods_com,No change,No change
6737,identify processes for re-engineering,"['No change', 'identify processes_obj', 'No change']",No change,identify processes_obj,No change
6738,use tools for castings repair,"['castings repair_com', 'use tools_obj', 'No change']",castings repair_com,use tools_obj,No change
6744,manage gas transmission system,"['gas transmission system_com', 'No change', 'No change']",gas transmission system_com,No change,No change
6747,adapt to changing situations,"['No change', 'No change', 'changing situations_amod']",No change,No change,changing situations_amod
6750,advise aircraft in hazardous conditions,"['No change', 'advise aircraft_obj', 'hazardous conditions_amod']",No change,advise aircraft_obj,hazardous conditions_amod
6752,remove cotton from bale presser,"['bale presser_com', 'remove cotton_obj', 'No change']",bale presser_com,remove cotton_obj,No change
6753,adjust the performance to different environments,"['No change', 'adjust the performance_obj', 'different environments_amod']",No change,adjust the performance_obj,different environments_amod
6755,check for solder defects,"['solder defects_com', 'No change', 'No change']",solder defects_com,No change,No change
6757,use software tools for site modelling,"['software tools_com', 'use software tools_obj', 'No change']",software tools_com,use software tools_obj,No change
6759,analyse apple juice for cider production,"['analyse apple juice_com', 'No change', 'No change']",analyse apple juice_com,No change,No change
6760,protect health and safety when handling animals,"['No change', 'No change', 'No change']",No change,No change,No change
6767,build rapport with people from different cultural backgrounds,"['No change', 'build rapport_obj', 'different cultural backgrounds_amod']",No change,build rapport_obj,different cultural backgrounds_amod
6768,tend surface grinding machine,"['surface grinding_com', 'No change', 'grinding machine_amod']",surface grinding_com,No change,grinding machine_amod
6769,follow airport safety procedures,"['airport safety procedures_com', 'No change', 'No change']",airport safety procedures_com,No change,No change
6776,operate sewage treatment plans on ships,"['sewage treatment plans_com', 'operate sewage treatment plans_obj', 'No change']",sewage treatment plans_com,operate sewage treatment plans_obj,No change
6777,chemical constitution of grapes,"['chemical constitution_com', 'No change', 'No change']",chemical constitution_com,No change,No change
6784,transportation vehicles for horses,"['transportation vehicles_com', 'No change', 'No change']",transportation vehicles_com,No change,No change
6787,monitor quality of confectionery products,"['confectionery products_com', 'monitor quality_obj', 'No change']",confectionery products_com,monitor quality_obj,No change
6788,use content management system software,"['content management system software_com', 'No change', 'No change']",content management system software_com,No change,No change
6793,feed pulp mixing vat,"['No change', 'No change', 'No change']",No change,No change,No change
6794,maintain laboratory dental tools,"['laboratory dental_com', 'No change', 'dental tools_amod']",laboratory dental_com,No change,dental tools_amod
6796,operate vacuum dewatering system,"['No change', 'No change', 'dewatering system_amod']",No change,No change,dewatering system_amod
6797,select artistic materials to create artworks,"['No change', 'materials to create artworks_obj', 'select artistic materials_amod']",No change,materials to create artworks_obj,select artistic materials_amod
6798,ensure compliance with healthcare regulations,"['healthcare regulations_com', 'ensure compliance_obj', 'No change']",healthcare regulations_com,ensure compliance_obj,No change
6799,take action on food safety violations,"['food safety violations_com', 'take action_obj', 'No change']",food safety violations_com,take action_obj,No change
6800,engage with rail stakeholders,"['rail stakeholders_com', 'No change', 'No change']",rail stakeholders_com,No change,No change
6802,work with different target groups,"['target groups_com', 'No change', 'different target groups_amod']",target groups_com,No change,different target groups_amod
6804,liaise with geology professionals,"['geology professionals_com', 'No change', 'No change']",geology professionals_com,No change,No change
6806,create a financial plan,"['No change', 'No change', 'financial plan_amod']",No change,No change,financial plan_amod
6808,operate radio dispatch systems for taxis,"['radio dispatch systems_com', 'operate radio dispatch systems_obj', 'No change']",radio dispatch systems_com,operate radio dispatch systems_obj,No change
6811,repair maritime communication equipment,"['communication equipment_com', 'No change', 'maritime communication equipment_amod']",communication equipment_com,No change,maritime communication equipment_amod
6812,provide advice on furniture maintenance,"['furniture maintenance_com', 'provide advice_obj', 'No change']",furniture maintenance_com,provide advice_obj,No change
6814,citizen involvement in healthcare,"['citizen involvement_com', 'No change', 'No change']",citizen involvement_com,No change,No change
6815,use waterway traffic control systems;,"['waterway traffic control systems_com', 'No change', 'No change']",waterway traffic control systems_com,No change,No change
6817,preserve documentation about creative process,"['No change', 'preserve documentation_obj', 'creative process_amod']",No change,preserve documentation_obj,creative process_amod
6818,adapt teaching to student's capabilities,"['No change', 'No change', 'adapt teaching_amod']",No change,No change,adapt teaching_amod
6820,work with a dance team,"['dance team_com', 'No change', 'No change']",dance team_com,No change,No change
6822,comply with the principles of self-defence,"['self-defence_com', 'No change', 'No change']",self-defence_com,No change,No change
6823,communicate professionally with colleagues in other fields,"['No change', 'No change', 'other fields_amod']",No change,No change,other fields_amod
6826,mechanical components of vehicles,"['No change', 'No change', 'mechanical components_amod']",No change,No change,mechanical components_amod
6827,establish site security routines,"['site security routines_com', 'No change', 'No change']",site security routines_com,No change,No change
6828,tend tube drawing machine,"['tube drawing machine_com', 'No change', 'No change']",tube drawing machine_com,No change,No change
6829,make up performing artists,"['No change', 'No change', 'performing artists_amod']",No change,No change,performing artists_amod
6832,comply with the planned time for the depth of the dive,"['No change', 'No change', 'planned time for the depth of the dive_amod']",No change,No change,planned time for the depth of the dive_amod
6835,analyse personal fitness information,"['fitness information_com', 'No change', 'analyse personal fitness_amod']",fitness information_com,No change,analyse personal fitness_amod
6836,assess the work during the performance,"['No change', 'assess the work_obj', 'No change']",No change,assess the work_obj,No change
6837,research recycling grant opportunities,"['research recycling_com', 'grant opportunities_obj', 'No change']",research recycling_com,grant opportunities_obj,No change
6838,install foam dams on pinchwelds,"['foam dams_com', 'install foam dams_obj', 'No change']",foam dams_com,install foam dams_obj,No change
6839,assess the colour curing of tobacco leaves,"['colour curing_com', 'assess the colour curing_obj', 'No change']",colour curing_com,assess the colour curing_obj,No change
6841,mix ingredients with latex,"['mix ingredients_com', 'No change', 'No change']",mix ingredients_com,No change,No change
6842,carry out covert security observations,"['security observations_com', 'No change', 'covert security observations_amod']",security observations_com,No change,covert security observations_amod
6847,operate machines for the rubber extrusion process,"['rubber extrusion process_com', 'No change', 'operate machines_amod']",rubber extrusion process_com,No change,operate machines_amod
6848,history of hair styles,"['hair styles_com', 'No change', 'No change']",hair styles_com,No change,No change
6850,visit places of work,"['No change', 'visit places_obj', 'No change']",No change,visit places_obj,No change
6851,detect flaws in record,"['No change', 'detect flaws_obj', 'No change']",No change,detect flaws_obj,No change
6852,handle paperwork related to warehouse stock,"['No change', 'No change', 'No change']",No change,No change,No change
6854,form operational strategies for law enforcement,"['law enforcement_com', 'form operational strategies_obj', 'operational strategies for law enforcement_amod']",law enforcement_com,form operational strategies_obj,operational strategies for law enforcement_amod
6855,use online tools to collaborate,"['No change', 'use online tools_obj', 'online tools to collaborate_amod']",No change,use online tools_obj,online tools to collaborate_amod
6856,train staff about product features,"['train staff_com', 'No change', 'No change']",train staff_com,No change,No change
6857,manufacturing of made-up textile articles,"['textile articles_com', 'No change', 'No change']",textile articles_com,No change,No change
6860,work in restoration team,"['restoration team_com', 'No change', 'No change']",restoration team_com,No change,No change
6861,wash decks of ships,"['No change', 'wash decks_obj', 'No change']",No change,wash decks_obj,No change
6862,continuously monitor weather conditions,"['weather conditions_com', 'monitor weather conditions_obj', 'No change']",weather conditions_com,monitor weather conditions_obj,No change
6863,manage communications with food industry governmental bodies,"['food industry_com', 'manage communications_obj', 'governmental bodies_amod']",food industry_com,manage communications_obj,governmental bodies_amod
6865,biosafety in biomedical laboratory,"['No change', 'No change', 'biomedical laboratory_amod']",No change,No change,biomedical laboratory_amod
6867,perform balance sheet operations,"['balance sheet operations_com', 'No change', 'No change']",balance sheet operations_com,No change,No change
6868,set up documentation control system,"['documentation control system_com', 'No change', 'No change']",documentation control system_com,No change,No change
6875,promote sports in schools,"['No change', 'promote sports_obj', 'No change']",No change,promote sports_obj,No change
6877,maintain the cleanliness of the toilet facilities,"['toilet facilities_com', 'maintain the cleanliness_obj', 'No change']",toilet facilities_com,maintain the cleanliness_obj,No change
6879,produce confectionery from chocolate,"['No change', 'produce confectionery_obj', 'No change']",No change,produce confectionery_obj,No change
6880,ensure continuity in the styling of artists,"['No change', 'ensure continuity_obj', 'No change']",No change,ensure continuity_obj,No change
6885,perform process control in the wearing apparel industry,"['process control_com', 'perform process control_obj', 'wearing apparel industry_amod']",process control_com,perform process control_obj,wearing apparel industry_amod
6886,manage donated goods in second-hand shop,"['second-hand shop_com', 'manage donated goods_obj', 'donated goods in second-hand shop_amod']",second-hand shop_com,manage donated goods_obj,donated goods in second-hand shop_amod
6888,use remote control equipment,"['control equipment_com', 'No change', 'remote control equipment_amod']",control equipment_com,No change,remote control equipment_amod
6892,calculate the productivity of the production of footwear and leather goods,"['leather goods_com', 'calculate the productivity_obj', 'No change']",leather goods_com,calculate the productivity_obj,No change
6894,drive helicopter under emergency conditions,"['emergency conditions_com', 'drive helicopter_obj', 'No change']",emergency conditions_com,drive helicopter_obj,No change
6896,advise patients on health and lifestyle issues,"['No change', 'advise patients_obj', 'No change']",No change,advise patients_obj,No change
6898,evaluate writings in response to feedback,"['No change', 'evaluate writings_obj', 'No change']",No change,evaluate writings_obj,No change
6899,implement environmental action plans,"['action plans_com', 'No change', 'environmental action plans_amod']",action plans_com,No change,environmental action plans_amod
6903,adapt to artists' creative demands,"['No change', 'No change', 'creative demands_amod']",No change,No change,creative demands_amod
6904,specialise in an area of history,"['No change', 'No change', 'No change']",No change,No change,No change
6907,organise weight of loads according to lifting equipment capacity,"['equipment capacity_com', 'weight of loads according to lifting equipment capacity_obj', 'organise weight_amod']",equipment capacity_com,weight of loads according to lifting equipment capacity_obj,organise weight_amod
6908,advise on poisoning incidents,"['No change', 'No change', 'No change']",No change,No change,No change
6909,install drainage well systems,"['No change', 'No change', 'well systems_amod']",No change,No change,well systems_amod
6911,clean waste materials from machines,"['waste materials_com', 'No change', 'clean waste_amod']",waste materials_com,No change,clean waste_amod
6913,draw up risk assessment,"['risk assessment_com', 'No change', 'No change']",risk assessment_com,No change,No change
6914,perform traffic sign maintenance,"['traffic sign maintenance_com', 'No change', 'No change']",traffic sign maintenance_com,No change,No change
6919,use tools for shoe repair,"['shoe repair_com', 'use tools_obj', 'No change']",shoe repair_com,use tools_obj,No change
6920,manage trauma through surgical means,"['No change', 'manage trauma_obj', 'surgical means_amod']",No change,manage trauma_obj,surgical means_amod
6921,national regulations on handling cargo,"['No change', 'regulations on handling cargo_obj', 'national regulations_amod']",No change,regulations on handling cargo_obj,national regulations_amod
6924,set auction listing agreement,"['auction listing agreement_com', 'No change', 'No change']",auction listing agreement_com,No change,No change
6925,evaluate retail food inspection findings,"['food inspection findings_com', 'No change', 'retail food inspection findings_amod']",food inspection findings_com,No change,retail food inspection findings_amod
6926,supervise spoken language learning,"['language learning_com', 'No change', 'spoken language learning_amod']",language learning_com,No change,spoken language learning_amod
6927,maintain relationships with doctors,"['No change', 'maintain relationships_obj', 'No change']",No change,maintain relationships_obj,No change
6936,perform small vessel navigation,"['vessel navigation_com', 'No change', 'small vessel navigation_amod']",vessel navigation_com,No change,small vessel navigation_amod
6937,make bids in forward auctions,"['No change', 'make bids_obj', 'forward auctions_amod']",No change,make bids_obj,forward auctions_amod
6939,provide advanced clinical practice in physiotherapy,"['No change', 'provide advanced clinical practice_obj', 'advanced clinical practice in physiotherapy_amod']",No change,provide advanced clinical practice_obj,advanced clinical practice in physiotherapy_amod
6943,perform routine maintenance of ship engines,"['ship engines_com', 'perform routine maintenance_obj', 'routine maintenance of ship engines_amod']",ship engines_com,perform routine maintenance_obj,routine maintenance of ship engines_amod
6945,measure nutritional health status using appropriate tools,"['health status_com', 'No change', 'nutritional health status using appropriate tools_amod']",health status_com,No change,nutritional health status using appropriate tools_amod
6951,plan supply chain logistics for footwear and leather goods,"['plan supply chain logistics_com', 'No change', 'No change']",plan supply chain logistics_com,No change,No change
6953,advise superiors on military operations,"['No change', 'advise superiors_obj', 'military operations_amod']",No change,advise superiors_obj,military operations_amod
6955,assemble an artistic team,"['No change', 'No change', 'artistic team_amod']",No change,No change,artistic team_amod
6959,weigh in motion system,"['motion system_com', 'No change', 'No change']",motion system_com,No change,No change
6960,minimise occupational hazards in dentistry practice,"['dentistry practice_com', 'minimise occupational hazards_obj', 'occupational hazards in dentistry practice_amod']",dentistry practice_com,minimise occupational hazards_obj,occupational hazards in dentistry practice_amod
6961,evaluate prospective foster parents,"['No change', 'No change', 'prospective foster parents_amod']",No change,No change,prospective foster parents_amod
6962,security in industrial buildings,"['No change', 'No change', 'industrial buildings_amod']",No change,No change,industrial buildings_amod
6963,supervise hygiene procedures in agricultural settings,"['No change', 'hygiene procedures_obj', 'agricultural settings_amod']",No change,hygiene procedures_obj,agricultural settings_amod
6965,teach industrial arts principles,"['arts principles_com', 'No change', 'industrial arts principles_amod']",arts principles_com,No change,industrial arts principles_amod
6968,design strategies for nuclear emergencies,"['design strategies_com', 'No change', 'nuclear emergencies_amod']",design strategies_com,No change,nuclear emergencies_amod
6969,inspect government policy compliance,"['government policy compliance_com', 'No change', 'No change']",government policy compliance_com,No change,No change
6972,manage crop maintenance functions,"['crop maintenance functions_com', 'No change', 'No change']",crop maintenance functions_com,No change,No change
6974,provide facilities for animal grooming services,"['animal grooming services_com', 'provide facilities_obj', 'No change']",animal grooming services_com,provide facilities_obj,No change
6975,handle knives for cutting activities,"['No change', 'No change', 'No change']",No change,No change,No change
6977,assist the veterinary surgeon as a scrub nurse,"['scrub nurse_com', 'assist the veterinary surgeon_obj', 'veterinary surgeon as a scrub nurse_amod']",scrub nurse_com,assist the veterinary surgeon_obj,veterinary surgeon as a scrub nurse_amod
6979,familiarise yourself with the work to be remounted,"['No change', 'familiarise yourself_obj', 'No change']",No change,familiarise yourself_obj,No change
6981,carry out forestry related measurements,"['No change', 'No change', 'related measurements_amod']",No change,No change,related measurements_amod
6982,coordinate audio system programmes,"['system programmes_com', 'No change', 'audio system programmes_amod']",system programmes_com,No change,audio system programmes_amod
6987,manage water distribution procedures,"['water distribution procedures_com', 'No change', 'No change']",water distribution procedures_com,No change,No change
6992,communicate with park visitors,"['park visitors_com', 'No change', 'No change']",park visitors_com,No change,No change
6993,adjust weight of cargo to capacity of freight transport vehicles,"['freight transport vehicles_com', 'adjust weight_obj', 'No change']",freight transport vehicles_com,adjust weight_obj,No change
6994,participate in games for player distribution,"['player distribution_com', 'No change', 'No change']",player distribution_com,No change,No change
6996,use automotive diagnostic equipment,"['No change', 'No change', 'automotive diagnostic equipment_amod']",No change,No change,automotive diagnostic equipment_amod
6997,follow zoo safety precautions,"['zoo safety precautions_com', 'No change', 'No change']",zoo safety precautions_com,No change,No change
6999,collaborate with technical experts on artworks,"['No change', 'No change', 'technical experts on artworks_amod']",No change,No change,technical experts on artworks_amod
7000,perform technical tasks with great care,"['No change', 'perform technical tasks_obj', 'technical tasks with great care_amod']",No change,perform technical tasks_obj,technical tasks with great care_amod
7004,develop the look of a production,"['No change', 'develop the look_obj', 'No change']",No change,develop the look_obj,No change
7009,plan daily ship operations,"['ship operations_com', 'No change', 'daily ship operations_amod']",ship operations_com,No change,daily ship operations_amod
7016,interpret requests for imaging examinations,"['No change', 'No change', 'No change']",No change,No change,No change
7019,advise on irrigation projects,"['irrigation projects_com', 'No change', 'No change']",irrigation projects_com,No change,No change
7022,ensure efficient utilisation of warehouse space,"['warehouse space_com', 'ensure efficient utilisation_obj', 'efficient utilisation of warehouse space_amod']",warehouse space_com,ensure efficient utilisation_obj,efficient utilisation of warehouse space_amod
7024,manage explosives in accordance with legislation,"['No change', 'manage explosives_obj', 'No change']",No change,manage explosives_obj,No change
7027,prepare meals for flights,"['No change', 'prepare meals_obj', 'No change']",No change,prepare meals_obj,No change
7028,maintain welfare of animals during transportation,"['No change', 'maintain welfare_obj', 'No change']",No change,maintain welfare_obj,No change
7029,carry out recruiting services,"['recruiting services_com', 'No change', 'No change']",recruiting services_com,No change,No change
7032,load picked fruits and vegetables,"['No change', 'picked fruits_obj', 'No change']",No change,picked fruits_obj,No change
7036,commodities in maritime transportation,"['No change', 'No change', 'maritime transportation_amod']",No change,No change,maritime transportation_amod
7037,show an exemplary leading role in an organisation,"['No change', 'show an exemplary leading role_obj', 'exemplary leading role in an organisation_amod']",No change,show an exemplary leading role_obj,exemplary leading role in an organisation_amod
7040,dispose soot from the sweeping process,"['No change', 'No change', 'dispose soot_amod']",No change,No change,dispose soot_amod
7042,maintain facility security systems,"['facility security systems_com', 'No change', 'No change']",facility security systems_com,No change,No change
7043,perform test in cigarette-making machine,"['No change', 'perform test_obj', 'cigarette-making machine_amod']",No change,perform test_obj,cigarette-making machine_amod
7044,calculate solar panel orientation,"['panel orientation_com', 'No change', 'solar panel orientation_amod']",panel orientation_com,No change,solar panel orientation_amod
7048,plan the work of teams and individuals,"['No change', 'plan the work_obj', 'No change']",No change,plan the work_obj,No change
7051,test chemicals in development baths,"['test chemicals_com', 'No change', 'No change']",test chemicals_com,No change,No change
7055,assembling processes and techniques for california footwear construction,"['california footwear construction_com', 'assembling processes_obj', 'No change']",california footwear construction_com,assembling processes_obj,No change
7057,use specialised tools in electric repairs,"['No change', 'use specialised tools_obj', 'specialised tools in electric repairs_amod']",No change,use specialised tools_obj,specialised tools in electric repairs_amod
7060,synchronise with mouth movements,"['mouth movements_com', 'No change', 'No change']",mouth movements_com,No change,No change
7062,diagnose aquatic animals disease symptoms,"['animals disease_com', 'No change', 'aquatic animals disease symptoms_amod']",animals disease_com,No change,aquatic animals disease symptoms_amod
7063,follow up complaint reports,"['complaint reports_com', 'No change', 'No change']",complaint reports_com,No change,No change
7066,tend mixing oil machine,"['oil machine_com', 'No change', 'No change']",oil machine_com,No change,No change
7067,use ICT recources to solve work related tasks,"['ICT recources_com', 'No change', 'related tasks_amod']",ICT recources_com,No change,related tasks_amod
7068,demonstrate functionality of software products,"['software products_com', 'demonstrate functionality_obj', 'No change']",software products_com,demonstrate functionality_obj,No change
7070,conduct extensive international travel,"['No change', 'No change', 'extensive international travel_amod']",No change,No change,extensive international travel_amod
7073,identify parts requested by customers,"['No change', 'identify parts_obj', 'No change']",No change,identify parts_obj,No change
7074,adapt to new technology used in cars,"['No change', 'No change', 'new technology used in cars_amod']",No change,No change,new technology used in cars_amod
7076,initiate life preserving measures,"['No change', 'No change', 'No change']",No change,No change,No change
7083,dispose of sewage sludge,"['sewage sludge_com', 'No change', 'No change']",sewage sludge_com,No change,No change
7084,advise customers on eyewear maintenance,"['No change', 'advise customers_obj', 'eyewear maintenance_amod']",No change,advise customers_obj,eyewear maintenance_amod
7086,assess felled timber volume,"['timber volume_com', 'No change', 'felled timber volume_amod']",timber volume_com,No change,felled timber volume_amod
7087,fill the vat with specific ingredients,"['No change', 'fill the vat_obj', 'specific ingredients_amod']",No change,fill the vat_obj,specific ingredients_amod
7089,communicate using the global maritime distress and safety system,"['No change', 'No change', 'global maritime distress and safety system_amod']",No change,No change,global maritime distress and safety system_amod
7091,evaluate performance of organisational collaborators,"['No change', 'evaluate performance_obj', 'organisational collaborators_amod']",No change,evaluate performance_obj,organisational collaborators_amod
7094,check quality of products on the production line,"['production line_com', 'check quality_obj', 'No change']",production line_com,check quality_obj,No change
7095,adhere to standards of national and international safety programmes,"['safety programmes_com', 'No change', 'national and international safety programmes_amod']",safety programmes_com,No change,national and international safety programmes_amod
7097,ensure smooth on board operations,"['board operations_com', 'ensure smooth_obj', 'No change']",board operations_com,ensure smooth_obj,No change
7104,conclude the psychotherapeutic relationship,"['No change', 'No change', 'psychotherapeutic relationship_amod']",No change,No change,psychotherapeutic relationship_amod
7106,maintain availability of spare parts,"['No change', 'maintain availability_obj', 'spare parts_amod']",No change,maintain availability_obj,spare parts_amod
7107,monitor media industry research figures,"['media industry research figures_com', 'No change', 'No change']",media industry research figures_com,No change,No change
7110,comply with timber trade code of conduct,"['timber trade code_com', 'No change', 'No change']",timber trade code_com,No change,No change
7111,advise on hair style,"['hair style_com', 'No change', 'No change']",hair style_com,No change,No change
7114,ensure steady circulation of trams,"['No change', 'ensure steady circulation_obj', 'steady circulation of trams_amod']",No change,ensure steady circulation_obj,steady circulation of trams_amod
7117,advise on plant mineral nutrition,"['plant mineral nutrition_com', 'No change', 'No change']",plant mineral nutrition_com,No change,No change
7118,make recommendation on nutrition to public policy makers,"['policy makers_com', 'make recommendation_obj', 'public policy makers_amod']",policy makers_com,make recommendation_obj,public policy makers_amod
7119,maintain computerised records of railway traffic,"['railway traffic_com', 'maintain computerised records_obj', 'computerised records of railway traffic_amod']",railway traffic_com,maintain computerised records_obj,computerised records of railway traffic_amod
